"hotel id",hotel,oras,"oras ales",mappedLocations,"potrivire perfecta","protrivire partiala","potrivire primul cuvant",mapare,potrivire
OT-PROP-A-197,"Margarona Royal",Preveza,Preveza,"Agia Paraskevi; Agia Triada; Agios Nikolaos; Agios Thomas; Aktio; Aktion Airport; Ano Kotsanopoulo; Ano Rachi; Archangelos; Cheimadio; Ekklisies; Epirus; Flampoura; Kamarina; Kampos; Kanali; Kastrosykia; Kato Kotsanopoulo; Kato Myrsini; Kato Revmatia; Kontates; Kryopigi; Louros; Lygia; Mazi; Megadentro; Michalitsi; Myrsini; Mytikas; Nea Kamarina; Nea Sampsounta; Nea Sinopi; Nea Thesi; Neo Sfinoto; Neochori; Neos Oropos; Nikopoli; Oropos; Pantokratoras; Paralia Kanaliou; Polyvryso; Pournari; Preveza; Preveza Region; Profitis Ilias; Psathaki; Revmatia; Riza; Skiadas; Stefani; Trikastro; Vrachos; Vrysoula",Preveza,,,,perfecta
OT-PROP-A-1970,"Lesante Classic Luxury Hotel & Spa",Zakynthos,"Zakynthos Town","Ag. Nikolaos Port; Agalas; Agia Marina; Agia Marina; Agia Thekli; Agioi Pantes; Agios Diimitrios; Agios Ioannis; Agios Kirikos; Agios Leon; Agios Sostis; Agrilia; Ai Giannis; Akrotiri; Alikanas; Alonia; Alykes; Ambelokipoi; Ammoudi; Ampelos; Ampoula; Anafonitria; Ano Gerakari; Ano Vasilikos; Ano Volimes; Apelati; Argasi; Askos; Bokhali; Chamouzas; Drakas; Drosia; Drosia; Elies; Exo Chora; Fiolitis; Fterini; Gaitani; Galaro; Girion; Ionian Islands; Kalamaki; Kalipado; Kalliteros; Kallithea; Kalpaki; Kampi; Kastelia; Katastari; Kato Gerakari; Keri; Khartata; Kiliomenos; Kipseli; Korithi; Koroni; Koukounaria; Kydoni; Laganas; Lagkadakia; Lagopodo; Limni Keriou; Limonteika; Lithakia; Louha; Makheradon; Marathias; Margaraiiika; Maries; Marinaiika; Melinado; Meso Gerakari; Mikro Nisi; Moni Strofadon; Mouzaki; Neromylos; Orthoniai; Pantokrator; Pefkakia; Pigadakia; Plagos; Planos; Planos; Psareika; Psarou; Romirion; Sarakinado; Skinaria; Skoulikado; Stimies; Tragaki; Tsilivi; Vanaton; Varvara; Vasilikos; Volimes; Vouyiaton; Xirokastello; Zakinthos Airport; Zakynthos Town; Zante Island",,"Zakynthos Town",,,partiala
OT-PROP-A-1970619,"Mykoniatika Villas","Nea Propontida  Central Macedonia","Nea Triglia","Agios Panteleimonas; Chalkidiki; Dikorfo; Dionisiou; Dionisiou Beach; Eleochoria; Metochi; Mouries; Nea Flogita; Nea Moudania; Nea Plagia; Nea Silata; Nea Tenedos; Nea Triglia; Nea Triglia Beach; Portaria; Portaria Beach; Sozopoli; Zografou",,,"Nea TrigliaNea TenedosNea SilataNea PlagiaNea MoudaniaNea FlogitaNea Triglia Beach",,"primul cuvant"
OT-PROP-A-197093,"Hotel Alkifron",Pelion,"Volos - Pelion","Afetes; Afyssos; Aghia Triadha; Agia Kyriaki; Agia Kyriaki; Agioi Taxiarches; Agios Athanasios; Agios Dimitrios Neochoriou; Agios Georgios Promyriou; Agios Lavrentios; Ano Gatzea; Ano Lekhonia; Argalasti; Argyraiika; Ayios Lavrendios; Ayios Vlasios; Ayios Yeoryios Nileias; Chorto; Dafni; Dhrakia; Dyo Revmata; Kala Nera; Kalamaki; Kalami; Kalamos; Kallithea; Kastri; Kato Gatzea; Kato Lekhonia; Koropi; Kottes; Koukoulaiika; Koulouraiika; Koutsilochori; Lafkos; Lampinou; Lefokastro; Lyri; Megali Vrysi; Metochi; Mikro; Mileai; Milina; Neochori; Palaio Trikeri; Paltsi; Pantazaiika; Patrichori; Pinakatai; Plaka; Platanidia; Potistika; Promyri; Rodias; Stavrodromi; Syki; Trikeri; Volos - Pelion; Vyzitsa; Xarkhakia; Xourichti; Xynovrysi; Zervochia; Zonaiika",,"Volos - Pelion",,,partiala
OT-PROP-A-1971,"Avaton Resort & Spa",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-1973,"All Senses Nautica Blue Exclusive Resort & Spa",Rhodes,"Rhodes Island","Afandou; Afantou; Agios Isidoros; Apolakkia; Apollona; Archangelos; Archangelos; Archipoli; Arnitha; Asklipio; Charaki; Dodecanese; Eleousa; Emponas; Epano Kalamonas; Faliraki; Fanes; Gennadi; Haraki; Haraki; Ialysos; Ialyssos; Ialyssos Rhodes; Istrios; Ixia; Ixos; Kalathos; Kalavarda; Kalithea; Kalithies; Kallithea; Kameiros Skala; Kamiros; Kamiros Skala; Kapion; Kattavia; Kiotari; Kolimbia; Kolymbia; Koskinou; Koskinou; Kremasti; Kritinia; Lachania; Lachania; Ladiko; Laerma; Lardos; Lardos; Lindos; Malon; Malonas; Mandriko; Maritsa; Masari; Mesanagros; Monolithos; Nanoi; Niokhori; Paradeisi; Paradeision; Paradisi; Pastida; Pastida; Pefki; Pefkos; Petaloudes; Pilona; Pilonas; Platania; Plimmiri; Plimmyri; Profilia; Psinthos; Psithos; Rhodes / Maritsa; Rhodes International Airport; Rhodes Island; Rhodes Port; Rhodes Town; Salakos; Siana; Skala Kamirou; Soroni; Stegna; Stegna; Theologos; Tholos (Rhodos); Vati; Vlicha",,"Rhodes IslandRhodes / MaritsaRhodes International AirportIalyssos RhodesRhodes PortRhodes Town",,,partiala
OT-PROP-A-197420,"Evia Hotel & Suites","Evia island",Evia,"Aetos; Agatho; Agia Marina; Agios Dimitrios; Akteo; Alamanaiika; Alexis; Almiropotamos; Amygdalia; Ano Aetos; Antia; Burbuli; Chania; Cherodynamo; Diliso; Ekali; Eleochori; Eleonas; Epanochori; Evangelismos; Evangelistria; Evia; Evia - Aidipsos - Eretria; Figia; Frygani; Galana; Gianitsi; Grabia; Ikaraioi; Kagadei; Kakogkioni; Kalergo; Kalivia; Kallianos; Kapsala; Kapsouri; Karystos; Katalimata; Kato Aetos; Katochori; Katsaroni; Kelia; Kissos; Kokini; Kokkaloi; Komito; Kouveles; Lalas; Lenosei; Lykorema; Marmarion; Mastrogiannaioi; Mekounida; Melissonas; Mesochori; Metochi; Myli; Nea Stira; Nikasi; Nimporio; Panagia; Panagia; Paradeisi; Pidouleika; Plagia; Platanistos; Polypotamos; Porto Lafia; Porto Lafio; Potami; Pothi; Prinia; Raptei; Rizovouni; Rouklia; Schizali; Soteira; Sterea Ellada - Evia; Stoupei; Styra; Thymi; Tsakei; Varelei; Varko; Vathyrema; Vathyrema; Vatisi; Verdhaioi; Villa Empeirikou; Vrachos; Zacharia; Zoodochos Pigi",,Evia,,,partiala
OT-PROP-A-1975,"Porto Galini Seaside Resort & Spa",Lefkada,"Lefkada Island","Agios Christoforos; Agios Nikitas; Agios Nikolaos Niras; Agios Petros; Alatro; Alexandros; Amokambos; Apolpena; Asprogerakata; Athani; Ayia Marina; Ayios Ilias; Charadiatika; Chortata; Desimi; Dragano; Drymonas; Egremni; Englouvi; Episkopi; Episkopos; Evgiros; Exanthia; Fraxi; Frini; Fterno; Geni; Ionian Islands; Kalamitsi; Kalamos; Kalavros; Kalligoni; Kallithea; Kariotai; Karya; Kastos; Kastron; Katochori; Katouna; Kavalos; Kolivata; Komilio; Kontarena; Lazarata; Lefkada Island; Ligia; Manasi; Marantochori; Mikros Gialos; Neochori; Nidhrion; Nidri; Nikiana; Nikolis; Nydri; Panochori; Peratia; Perigiali; Pigadisani; Pinakochori; Plagia; Platistoma; Pondi; Poros; Premendinos; Rachi; Sivota; Sivros; Spanokhorion; Spasmeni Vrisi; Steno; Tsoukalades; Vasiliki; Vavkeri; Vlikho; Vournikas",,"Lefkada Island",,,partiala
OT-PROP-A-197566,"Olympion Melathron","Olympus Riviera, Pieria","Olympic Riviera - Pieria","Agios Spyridon; Aigani; Anatolikos Olympos; Ano Skotina; Dion; Kalyvia Varikou; Karitsa; Kato Aigani; Kontariotissa; Kouloura; Krania; Leptokaria (Pieria); Leptokarya; Lithochoro (Pieria); Litochoro; Nea Efesos; Nea Mesagkala; Neoi Poroi; Olympic Riviera - Pieria; Omolio; Palaia Leptokarya; Palaiopyrgos; Palaios Panteleimonas; Papapouli; Pieria - Olympos; Platamonas; Platamonas; Platanakia; Poroi; Pyrgetos; Skala Litochorou; Skala Skotinas; Skala Stolou; Skotina; Synoikismos Panteleimonos; Vrontou",,,,"Olympic Riviera - Pieria",mapare
OT-PROP-A-197617,"Limneon Resort & Spa",Kastoria,Kastoria,"Agia Kyriaki; Agia Paraskevi; Agios Antonios; Agios Nikolaos Korisou; Akontio; Ammos; Ammoudara; Ampelochori; Ampelokipoi; Ano Kranionas; Ano Melas; Aposkepos; Apozari; Argos Orestiko; Asprokklisia; Asproneri; Avgi; Chalara; Chiliodendro; Chloi; Dendrochori; Dispilio; Foteini; Fourka; Gavros; Ieropigi; Kallithea; Kalochori; Kastoria; Kastoria Airport; Kastoria Region; Kato Pteria; Kefalari; Kleisoura; Kolokynthou; Korisos; Koromilia; Kostarazi; Kranionas; Kremasto; Krepeni; Lachanokipoi; Lakkomata; Lefki; Lithia; Macedonia; Makrochori; Maniakoi; Mavrochori; Mavrokampos; Melas; Melissotopos; Mesopotamia; Metamorfosi; Militsa; Moni Agion Anargyron; Moni Panagias; Nea Lefki; Neo Kostarazi; Neos Oikismos; Ntoltso; Oinoi; Omorfokklisia; Oxya; Palaio Tsifliki; Pallinostountes; Pentavryso; Polykarpi; Polykeraso; Poreia; Pteria; Sidirochori; Stavropotamos; Toichio; Tsakoni; Vasileiada; Verga; Votani; Vyssinia; Ypsilo",Kastoria,,,,perfecta
OT-PROP-A-1977,"Molos Bay","Kissamos, Crete",Kissamos,"Aerinos; Agioi Pantes; Agios Antonios Kallergianon; Agios Georgios Gramvousis; Agios Ioannis; Agria Gramvousa; Aikyrgiannis; Aligi; Amygdalokefali; Ano Drapanias; Ano Sfinari; Ano Strovles; Ano Tzineriana; Ano Voulgaro; Armenochori; Athanasiana; Azogyras; Balampiana; Bandouriana; Barouxiana; Batisiana; Berpathiana; Bertigiana; Chairethiana; Chalepa; Chania Region - Crete; Charavgi; Charchaliana; Choreftiana; Choudaliana; Christos; Chrysoskalitissis Monastery; Crete Island; Dafni; Dermiziana; Deroukiana; Drapanias; Elos; Falasarna; Faleliana; Felesiana; Fournados; Fterolakka; Galouvas; Giampaniana; Gramvousa; Grevediana; Grigoriana; Imeri Gramvousa; Kalathenes; Kalidonia; Kallergiana; Kaloudiana; Kalyviani; Kamara; Kamara; Kamara; Kamiliana; Kampos; Kampos Kallergianon; Kaniavas; Kapsaniana; Karefiliana; Karthiana; Kastaniana; Kastriniana; Kato Paleokastro; Kato Veni; Kato Voulgaro; Katsikandariana; Kavousi; Kefali; Kera; Keramoti; Kikoriana; Kioliana; Kissamos; Kokkino Metochi; Koleni; Kontoudiana; Kostadiana; Kostogiannides; Kotsiana; Koukounara; Kounoupitsa; Kourfalonas; Kourthiana; Koutroufiana; Koutsomatados; Lakoi; Latziana; Ligoriana; Limeniskos; Limni; Limpiniana; Livadi; Louchi; Lousakies; Lygiana; Lyridiana; Makronas; Malathyros; Maneriana; Marediana; Marouliana; Mathiana; Mazokopiana; Melissia; Melissourgio; Melissourgio; Merada; Mesonisi; Metochi; Metochi; Metochi; Micheliana; Milia; Mouladiana; Mouri; Myloi; Mylones; Neo Chorio; Nopigia; Pano Chorio; Pano Veni; Papadiana; Papoutsiana; Pappadiana; Pappadiana; Pappagiannakides; Perivolia; Pervolakia; Piperiana; Plagia; Plakalona; Platanos; Plokamiana; Polyrrinia; Porro Mesogeia; Potamida; Pyrgos; Ravdoucha; Rogdia; Rokka; Sasalos; Sellia; Sfakopigadi; Sfinari; Simantiriana; Sineniana; Sirikari; Skalidiana; Skouloudiana; Stamatiana; Stavrouliana; Stratigiana; Strovles; Tampariana; Theodoriana; Topolia; Trachilos; Trialonia; Tsichliana; Tsigkouniana; Tsikalaria; Tsourouniana; Tzineriana; Tzitzifia; Tzortziana; Vardia; Vardiana; Vasilopoulo; Vathi; Vesiana; Viglia; Vlasiana; Vlatos; Volikiana; Voulgaro; Zachariana; Zerviana",,Kissamos,,,partiala
OT-PROP-A-198,"Kalamaki Beach Resort",Isthmia,Isthmia,"Alamannos; Ancient Corinth; Angelokastro; Ano Almyri; Arakoukia; Archaio Limani; Assos; Athikia; Ayia Marina; Ayia Paraskevi; Ayionori; Ayios Dimitrios; Ayios Ioannis; Ayios Kosmas; Ayios Petros; Ayios Vasilios; Ayios Vlassis; Bekianika; Corinth; Corinthia - Loutraki; Dafni Examilion; Eirini; Examilia; Frangolimano; Galataki; Gefyra Isthmou; Iera Moni Ayias Triados; Ilios; Isthmia; Kallithea Loutrakiou; Katakali; Kato Almyri; Kato Assos; Kato Examilia; Kavos; Kavos Korfou; Kekhries; Khiliomodhi; Kiourkati; Klenia; Kokkosi; Korfos; Koutalas; Kyras Vrysi; Lekhaio; Levka; Loutra Oraias Elenis; Mapsos; Moni Agias Marinis; Moni Taksiarchon; Nea Almyri; Ntrassa; Palaio Kalamaki; Panorama Xylokerizis; Paradeisos; Pefkali; Peloponnese; Periyiali; Posidhonia; Ryto; Siderona; Sofikon; Solomos; Spathovouni; Stefani; Thymariona; Thymeli; Veliniatika; Vlasaiika; Xilokeriza",Isthmia,,,,perfecta
OT-PROP-A-1980,"Preveza City Comfort Hotel","Preveza, Ionian Coast",Preveza,"Agia Paraskevi; Agia Triada; Agios Nikolaos; Agios Thomas; Aktio; Aktion Airport; Ano Kotsanopoulo; Ano Rachi; Archangelos; Cheimadio; Ekklisies; Epirus; Flampoura; Kamarina; Kampos; Kanali; Kastrosykia; Kato Kotsanopoulo; Kato Myrsini; Kato Revmatia; Kontates; Kryopigi; Louros; Lygia; Mazi; Megadentro; Michalitsi; Myrsini; Mytikas; Nea Kamarina; Nea Sampsounta; Nea Sinopi; Nea Thesi; Neo Sfinoto; Neochori; Neos Oropos; Nikopoli; Oropos; Pantokratoras; Paralia Kanaliou; Polyvryso; Pournari; Preveza; Preveza Region; Profitis Ilias; Psathaki; Revmatia; Riza; Skiadas; Stefani; Trikastro; Vrachos; Vrysoula",,Preveza,,,partiala
OT-PROP-A-198049,"Hotel Castillio",Astipalea,"Astipalea Island","Astipalea Island; Astypalaia Airport; Dodecanese",,"Astipalea Island",,,partiala
OT-PROP-A-198056,"Grand Nefeli Hotel","Lefkada Island","Lefkada Island","Agios Christoforos; Agios Nikitas; Agios Nikolaos Niras; Agios Petros; Alatro; Alexandros; Amokambos; Apolpena; Asprogerakata; Athani; Ayia Marina; Ayios Ilias; Charadiatika; Chortata; Desimi; Dragano; Drymonas; Egremni; Englouvi; Episkopi; Episkopos; Evgiros; Exanthia; Fraxi; Frini; Fterno; Geni; Ionian Islands; Kalamitsi; Kalamos; Kalavros; Kalligoni; Kallithea; Kariotai; Karya; Kastos; Kastron; Katochori; Katouna; Kavalos; Kolivata; Komilio; Kontarena; Lazarata; Lefkada Island; Ligia; Manasi; Marantochori; Mikros Gialos; Neochori; Nidhrion; Nidri; Nikiana; Nikolis; Nydri; Panochori; Perigiali; Pigadisani; Pinakochori; Platistoma; Pondi; Poros; Premendinos; Rachi; Sivota; Sivros; Spanokhorion; Spasmeni Vrisi; Steno; Tsoukalades; Vasiliki; Vavkeri; Vlikho; Vournikas","Lefkada Island",,,,perfecta
OT-PROP-A-1981,"Chora Resort & Spa",Folegandros,"Folegandros Island","Agali; Ano Meria; Cyclades; Folegandros Island; Karavostasis; Kastron; Livadi; Petousa",,"Folegandros Island",,,partiala
OT-PROP-A-198136,"Glykeria Mini Suites","Santorini [Thira]","Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,,"Santorini IslandSantorini Airport",,"primul cuvant"
OT-PROP-A-198137,"Mirabo Luxury Villas",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-198138,"Kapari Natural Resort",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
OT-PROP-A-198143,"The Saint Vlassis",Naxos,"Naxos Island","Agia; Agia Anna; Agiassos; Agidia; Agii Pantes; Agios Arsenios; Agios Georgios; Agios Prokopios; Agios Thaleleos; Akadhimoi; Akrotiri; Aliko; Ano Potamia; Ano Sagri; Aperatos; Apollon; Argokiliotisa; Aspra Spitia; Atsipapi; Azalas; Chalkio; Cheimarros; Chilia Vrisi; Chrysostomou Monastery; Damalas; Damarionas; Danakos; Eggares; Elli; Faraklo; Filoti; Galanado; Galini; Glinado; Grotta; Kalantos; Kaloxylos; Kampos; Kanakari; Kanaki; Kastraki; Kato Potamia; Kato Sagri; Kerami; Keramoti; Kinidaros; Kleido; Koronis; Koronos; Kourounochori; Lionas; Lygaridia; Maragas; Mastorakis; Melanes; Mesi; Mesi Potamia; Mikri Vigla; Moni; Moutsouna; Myli; Myrisis; Naxos Airport; Naxos Island; Naxos Town; Orkos; Panermos; Pirgaki; Plaka; Rachi; Sifones; Skado; St . George; Stelida; Taksiarchis; Tsikkalarion; Vivlos; Vourvouria; Zoodochos Pigi",,"Naxos IslandNaxos TownNaxos Airport",,,partiala
OT-PROP-A-198144,"Penelope Village","Mykonos, Cyclades Islands",Cyclades,"Aggelika; Agios Ioannis Diakoftis; Agios Lazaros; Agios Sostis; Agios Stefanos; Agrari; Alefkandra; Aleomantra; Amygdalidi; Ano Mera; Ano Myloi; Argyraina; Baos; Choulakia; Costa Ilios; Cyclades; Dilos Island; Drafaki; Drakouri; Elia; Famprika; Faros Armenistis; Fournakia; Glastros; Glyfadi; Kalafati; Kalo Livadi; Kaminakia; Kanalia; Kastro; Kato Myloi; Klouvas; Korfos; Lakka; Limni; Megali Ammos; Mikonos Island, Mikonos Airport; Mikri Venetia; Mykonos Chora; Mykonos Island; Ornos; Panormos; Peteinaros; Platys Gialos; Plintri; Psarou; Scholi Kalon Technon; Skalado; Tagkou; Tourlos; Vothonas; Vrysi",,Cyclades,,,partiala
OT-PROP-A-1982,"Vardia Bay",Folegandros,"Folegandros Island","Agali; Ano Meria; Cyclades; Folegandros Island; Karavostasis; Kastron; Livadi; Petousa",,"Folegandros Island",,,partiala
OT-PROP-A-198276,"Aegean Wave Hotel",Skopelos,"Skopelos Island","Agnontas; Agnontas; Ditropos; Glossa; Glossa; Kalogiros; Kaloyiros; Kima; Loutraki; Machalas; Myloi; Neo Klima; Palio Klima; Panormos; Skopelos Island; Skopelos Town; Stagylos",,"Skopelos IslandSkopelos Town",,,partiala
OT-PROP-A-198279,Agnantia,Kefalonia,"Kefalonia Island","Agia Effimia; Agia Efimia; Agia Eirini; Agia Pelagia; Agia Thekli; Agios Nikolaos; Agkonas; Agrilias; Ammes; Ampelaki; Andriolata; Anninata; Ano Valtes; Anomeria; Antipata; Antipata; Arginia; Argostolion; Asos; Asprogerakas; Atheras; Atsoupades; Bekatorata; Benetata; Chalikeri; Chaliotata; Chavdata; Chavriata; Chelmata; Chionata; Damoulianata; Davgata; Defaranata; Delaportata; Dematora; Dhemoutsandata; Digaleto; Dilinata; Divarata; Dorizata; Drakata; Drakopoulata; Drapanitika; Epanochori; Evreti; Fanies; Faraklata; Farsa; Favatata; Ferentinata; Fiskardo; Fokata; Fournioti; Fragkata; Frapata; Germenata; Grizata; Ionian Islands; Kalata; Kaligata; Kaminarata; Kampitsata; Kapandriti; Karavadhos; Karavomylos; Kardakata; Karousa; Karya; Kastro; Kateleios; Kato Kateleios; Katochori; Katopodata; Katsarata; Kefalonia Island; Kerameies; Khalikeri; Kharaktion; Kleismata; Kokolata; Kokolata; Kolaitis; Kombothekrata; Komitata; Konidarata; Kontogenada; Kontogourata; Koriana; Kornelos; Kothreas; Koulourata; Kounopetra; Kourouklata; Koutroukois; Kouvalata; Kremmydi; Lakithra; Lassi; Lassi; Latavinata; Lavonikes; Lekatsata; Lepedha; Livadi; Livathinata; Lixouri; Logarata; Loukata; Loukerata; Lourdas; Lourdata; Makriotika; Manganos; Mantoukata; Mantzavinata; Markantonata; Markata; Marketata; Markopoulo; Markouliata; Matsoukata; Mavrata; Megas Lakos; Menegata; Mesovounia; Metaxata; Michalitsata; Michata; Minetata; Minia; Mitakata; Monastiraki; Monopolata; Mousata; Mouzakata; Myrtos Beach; Neochori; Neochori; Nyfi; Parisata; Pastra; Patrikata; Peratata; Pesada; Petrikata; Plagia; Poros; Poros, Kefalonia; Poulata; Psilithrias; Raftopoulata; Ratzakli; Razata; Rifi; Riza; Salamata; Sami; Sarlata; Simotata; Skala; Skala Kefalonia; Skineas; Sofata; Soullaroi; Spartia; Spathi; Svoronata; Tarkasata; Thiramonas; Tipaldata; Touliata; Trapezaki; Travliata; Troianata; Tsarkasianos; Tselentata; Tzamarellata; Tzanata; Tzanetata; Valerianos; Valianata; Valsamata; Vary; Vasilikiades; Ventourata; Vigli; Vilatoria; Vlachata; Vlachata; Vlychata; Vouni; Vovykes; Xenopoulo; Xi; Zampelata; Zervata; Zola",,"Skala KefaloniaKefalonia IslandPoros, Kefalonia",,,partiala
OT-PROP-A-198386,"Amfitriti Palazzo Design Hotel",Nafplion,Nafplion,"Agia Paraskevi; Agia Triada; Agios Adrianos; Almyros; Amarianos; Amigdalitsa; Anifi; Ano Karnezeika; Arachneo; Argolida; Argoliko; Argos; Aria; Asini; Asprovrysi; Assini Beach; Dalamanara; Dhendra; Dichalia; Drepano; Exostis; Gatzia; Ireon; Iria; Kalamaki; Kallithea; Kanapitsa; Kandia; Kapodistrias; Karnezeika; Katsigianneika; Kiveri; Kougeika; Kourtaki; Laloukas; Lefkakia; Magoula; Manesis; Marathea; Metochi; Midea; Moni Agiou Theodosiou Tou Neou; Moni Karakala; Myli; Nafplion; Nea Kios; Nea Marathea; Nea Tiryns; Neo Roino; Paleochora; Panagia; Panaritis; Paralia Irion; Peloponnese; Pirgela; Platanitis; Poulakida; Profitis Ilias; Pyrgiotika; Skafidaki; Stavropodi; Timenio; Tiryns; Tolo; Tsapralaiika; Vivari; Xidhaiika",Nafplion,,,,perfecta
OT-PROP-A-198387,"5 Hermoupolis Concept Sites",Syros,"Syros Island","Agros; Alithini; Ano Syros; Chalandriani; Chrousa; Cyclades; Danakos; Episkopion; Finikas; Finikia; Firokambos; Galissas; Kambos; Khalepa; Kini; Kipperousa; Komito; Konizopi; Kouroupi; Liaropa; Manna; Mega Gialo; Megas Yialos-Nites; Mesaria; Pagos; Parakopi; Perdhiki; Platos; Poseidonia; Syros Island; Syros Island National Airport; Talanda; Vari; Vissa; Voulias",,"Syros IslandAno SyrosSyros Island National Airport",,,partiala
OT-PROP-A-198389,"Valeni Boutique Hotel",Pelion,Pelion,"Agia Paraskevi; Agios Lavrentios; Agios Onoufrios; Agria; Aidhinion; Alli Meria; Anakasia; Ano Lekhonia; Ano Volos; Ayios Lavrendios; Ayios Vlasios; Ayios Yeoryios Nileias; Dhrakia; Dimini; Dyo Revmata; Fitokos; Glafyra; Iolkos; Katichori; Kato Lekhonia; Magnisia; Makrinitsa; Melissatika; Mikrothives; Nea Anchialos; Nea Ionia; Nees Pagases; Paliouri; Pelion; Platanidia; Portaria; Sesklo; Stagiates; Thessaly; Volos; Volos - Pelion; Volos Army Airport",Pelion,,,,perfecta
OT-PROP-A-198462,"Mpalkoni Sti Monemvasia","Monemvasia | Lakonia – Peloponnese",Monemvasia,"Achaia - Patra - Rio - Kalavryta; Adhiakopos; Agia Kyriaki; Agios Ioannis; Agkelona; Akhladhokambos; Ano Kastanea; Archangelos; Ariana; Asopos; Ayia Paraskevi; Ayioi Apostoloi; Ayioi Theodhoroi; Ayios Dhimitrios Monemvasias; Ayios Elissaios; Ayios Fokas; Ayios Ioannis; Ayios Ioannis; Ayios Mamas; Ayios Miron; Ayios Nikolaos; Ayios Nikolaos Monemvasias; Ayios Sarandos; Ayios Stefanos; Ayios Yeoryios; Ayios Yeoryios; Belesaiika; Dhaimonia; Dhermatianika; Elaia; Elika; Ellinikon; Faraklon; Favaiika; Floka; Foinikion; Foutia; Gefyra; Gerakas; Kaloyerina; Kalyves; Kapsala; Karavostasion; Kastella; Katavothra; Kato Kastanea; Katounia; Kharax; Khorioudhakia; Klironomaiika; Kondaiika; Kondrafourianika; Koulouraiika; Koundiourianika; Koupia; Kremmydi; Kriovrisi; Ksifias; Kyparissi; Lakhion; Lakonia - Monemvasia -Mani; Lambokambos; Latomion; Limeni Geraka; Lira; Longarion; Lotza; Manolarianika; Markianika; Megali Epilia; Mendianika; Mesokhorion; Metamorfosis; Mitropolis; Molaoi; Monemvasia; Neapolis; Nomia; Oikonomianika; Pakia; Palaia Monemvasia; Panayia; Panayitsa; Pandanassa; Pappadhianika; Paradhision; Paralia; Paraskaiika; Pasakion; Peloponnese; Pistamata; Platori; Plitra; Pori; Reichea; Sgardhelianika; Sklavouna; Spithaiika; Sykea; Talanta; Taxiarkhai; Teria; Trochalia; Tsengianika; Velanidhia; Veliai; Vinglafia",,"MonemvasiaPeloponnese",,,partiala
OT-PROP-A-198506,"Sun Anemos Resort",Santorini,"Santorini Island","Agia Irini; Agia Paraskevi; Agios Georgios; Agrilia; Akrotiri; Cyclades; Emporio; Episkopi; Exo Gialos; Exo Gonia; Exomytis; Finikia; Firostefani; Firá; Imerovigli; Kamari; Karterados; Manolas; Megalochori; Mesaria; Monolithos; Oia; Ormos Korfou; Perissa; Perivolos; Potamos; Pyrgos; Santorini Airport; Santorini Island; Tholos; Vlychada; Vothonas; Vourvoulos",,"Santorini IslandSantorini Airport",,,partiala
